Feature,Mean |SHAP|
cat__country_PRT,1.417768762276712
num__total_of_special_requests,0.6715579743723852
num__lead_time,0.5983352927077222
num__required_car_parking_spaces,0.4821570373985462
num__agent,0.40354533866826814
cat__deposit_type_Non Refund,0.3961485400194124
num__previous_cancellations,0.3528518866352524
cat__deposit_type_No Deposit,0.3301339431628562
cat__market_segment_Online TA,0.2846101925542012
num__arrival_date_year,0.22575271118135942
cat__customer_type_Transient,0.20363030276626826
cat__customer_type_Transient-Party,0.18423256655021522
num__booking_changes,0.1836161911442201
cat__reserved_room_type_A,0.15756416394386863
cat__assigned_room_type_A,0.13211723968196432
num__adr,0.09834659621280951
cat__market_segment_Offline TA/TO,0.08920738074011306
num__arrival_date_week_number,0.0869504503330794
num__previous_bookings_not_canceled,0.06907696654832644
num__stays_in_weekend_nights,0.06599140013435756
cat__reserved_room_type_D,0.0562744924627441
cat__country_DEU,0.05598650932216627
cat__assigned_room_type_D,0.044840751868384196
num__stays_in_week_nights,0.041999000725669186
cat__country_FRA,0.03590260703434173
cat__country_ESP,0.0321830174685066
num__adults,0.0315832558605335
cat__arrival_date_month_July,0.025150217641340608
cat__distribution_channel_TA/TO,0.023686912865765245
cat__market_segment_Direct,0.02184938980072577
num__children,0.020938820378433587
cat__assigned_room_type_E,0.020068387192020552
num__arrival_date_day_of_month,0.019554250217961824
cat__market_segment_Groups,0.01679962075226372
cat__distribution_channel_Direct,0.01663605925227435
cat__hotel_City Hotel,0.015466655194163775
cat__country_ITA,0.015258905317410427
cat__reserved_room_type_E,0.013625414963609486
cat__arrival_date_month_August,0.013101475891774392
cat__country_BEL,0.013020519073127618
cat__country_BRA,0.012714724396937615
num__is_repeated_guest,0.01265407111436016
cat__hotel_Resort Hotel,0.011706486487547636
cat__country_NLD,0.011658920963738434
cat__market_segment_Corporate,0.010993057597557605
cat__meal_Undefined,0.0104783745001166
cat__meal_BB,0.010256878878616212
cat__customer_type_Contract,0.009898605282033176
cat__meal_SC,0.009335352407670035
cat__distribution_channel_Corporate,0.008474197205019855
num__days_in_waiting_list,0.007871424900728733
cat__arrival_date_month_June,0.007828648384210726
cat__country_CHN,0.007018530848329782
cat__country_IRL,0.006908495154878088
cat__arrival_date_month_October,0.006686614208952554
cat__country_AGO,0.006324176514059151
cat__meal_HB,0.006089968337661603
cat__arrival_date_month_March,0.005887777899446094
cat__country_AUT,0.005199778367687072
cat__country_CHE,0.004800429698263546
